ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13000    0.017    0.000    0.099    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:324(ymax)
     1098    0.001    0.000    0.099    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/patches.py:791(get_patch_transform)
     1098    0.013    0.000    0.098    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/patches.py:761(_update_patch_transform)
    19694    0.008    0.000    0.096    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:41(_amin)
    33889    0.026    0.000    0.093    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1281(_to_unmasked_float_array)
     9901    0.020    0.000    0.091    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1539(transform_path_non_affine)
   855884    0.090    0.000    0.090    0.000 {built-in method posix.fspath}
     1696    0.005    0.000    0.089    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:666(<listcomp>)
    12013    0.015    0.000    0.086    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:314(ymin)
    70527    0.051    0.000    0.086    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1702(__init__)
     7624    0.020    0.000    0.085    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:467(update_position)
    10196    0.013    0.000    0.084    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:309(xmin)
    44032    0.083    0.000    0.083    0.000 {built-in method matplotlib._path.affine_transform}
       50    0.000    0.000    0.083    0.002 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2008(_get_tick)
       50    0.001    0.000    0.083    0.002 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:416(__init__)
    95720    0.082    0.000    0.082    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6429    0.006    0.000    0.081    0.000 <__array_function__ internals>:2(broadcast_arrays)
     6429    0.005    0.000    0.080    0.000 <__array_function__ internals>:2(column_stack)
     7304    0.019    0.000    0.079    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:538(update_position)
    18336    0.079    0.000    0.079    0.000 {method 'round' of 'numpy.ndarray' objects}
       94    0.003    0.000    0.077    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:56(__init__)
    61613    0.042    0.000    0.077    0.000 {built-in method builtins.any}
     3255    0.003    0.000    0.074    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/inspect.py:3020(bind)
     6335    0.004    0.000    0.074    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:707(_get_transformed_path)
     4584    0.014    0.000    0.073    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:250(<listcomp>)
    30994    0.022    0.000    0.072    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py:238(helper)
     2292    0.002    0.000    0.072    0.000 <__array_function__ internals>:2(roots)
     1696    0.004    0.000    0.072    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:667(<listcomp>)
     3255    0.049    0.000    0.071    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/inspect.py:2889(_bind)
    17382    0.028    0.000    0.071    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:164(_fast_from_codes_and_verts)
     1210    0.003    0.000    0.070    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:1571(apply_aspect)
     6335    0.008    0.000    0.070    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:692(_transform_path)
     1696    0.004    0.000    0.069    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:668(<listcomp>)
     1696    0.004    0.000    0.068    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:669(<listcomp>)
     4584    0.023    0.000    0.068    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2110(_get_ufunc_and_otypes)
